Entry	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
L7N6B9		gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; secondary active transmembrane transporter activity [GO:0015291]	plasma membrane [GO:0005886]
L7N6C0	methylation [GO:0032259]	methyltransferase activity [GO:0008168]	
O05293		catalytic activity [GO:0003824]	membrane [GO:0016020]
O05294			plasma membrane [GO:0005886]
O05295		CoA-ligase activity [GO:0016405]	
O05296	positive regulation of DNA-templated transcription [GO:0045893]	DNA-binding transcription factor activity [GO:0003700]	plasma membrane [GO:0005886]
O05301		transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]
O05304			
O05305			
O05310			peptidoglycan-based cell wall [GO:0009274]
O05311	base-excision repair [GO:0006284]	DNA-3-methyladenine glycosylase activity [GO:0008725]; metal ion binding [GO:0046872]	
O05312		calcium ion binding [GO:0005509]; enzyme activator activity [GO:0008047]; small molecule binding [GO:0036094]	
O05316		dipeptidyl-peptidase activity [GO:0008239]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
O05317			endomembrane system [GO:0012505]
O05436			plasma membrane [GO:0005886]
O05439		calcium ion binding [GO:0005509]	
O05444			extracellular region [GO:0005576]
O05445			plasma membrane [GO:0005886]
O05446			extracellular region [GO:0005576]
O05447			
O05448			
O05453			extracellular region [GO:0005576]
O05456		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
O05573			
O05574		protein folding chaperone [GO:0044183]	
O05578		protein-N-terminal-alanine acetyltransferase activity [GO:0008999]	cytoplasm [GO:0005737]
O05579			extracellular region [GO:0005576]
O05580			
O05582			extracellular region [GO:0005576]; plasma membrane [GO:0005886]
O05589			extracellular region [GO:0005576]
O05591	folic acid-containing compound biosynthetic process [GO:0009396]; L-tryptophan biosynthetic process [GO:0000162]	4-amino-4-deoxychorismate synthase activity [GO:0046820]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O05592			peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O05597			
O05772		oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	
O05773	fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]	cytoplasm [GO:0005737]
O05776			
O05777		metal ion binding [GO:0046872]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O05780			extracellular region [GO:0005576]
O05781		mechanosensitive monoatomic ion channel activity [GO:0008381]	plasma membrane [GO:0005886]
O05785			
O05790	DNA repair [GO:0006281]	phosphoglycolate phosphatase activity [GO:0008967]	cytosol [GO:0005829]
O05791	tRNA wobble adenosine to inosine editing [GO:0002100]	tRNA-specific adenosine-34 deaminase activity [GO:0052717]	
O05796		methyltransferase activity [GO:0008168]	
O05805		lipase activity [GO:0016298]	cytosol [GO:0005829]; membrane [GO:0016020]; peptidoglycan-based cell wall [GO:0009274]
O05823			
O05828	positive regulation of DNA-templated transcription [GO:0045893]	DNA-binding transcription factor activity [GO:0003700]	
O05833		catalytic activity [GO:0003824]	
O05838			plasma membrane [GO:0005886]
O05844			
O05848	sphingolipid metabolic process [GO:0006665]	ATP-dependent diacylglycerol kinase activity [GO:0004143]	plasma membrane [GO:0005886]
O05849			
O05853			bacterial nucleoid [GO:0043590]; peptidoglycan-based cell wall [GO:0009274]
O05854			cytosol [GO:0005829]; plasma membrane [GO:0005886]
O05856			
O05857			extracellular region [GO:0005576]; plasma membrane [GO:0005886]
O05859	proteolysis [GO:0006508]	metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]
O05861			peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O05862	DNA repair [GO:0006281]; methylation [GO:0032259]	damaged DNA binding [GO:0003684]; methyltransferase activity [GO:0008168]	
O05876			
O05878	biological process involved in interaction with host [GO:0051701]; response to hypoxia [GO:0001666]; response to nitric oxide [GO:0071731]; triglyceride biosynthetic process [GO:0019432]	O-acyltransferase activity [GO:0008374]	plasma membrane [GO:0005886]
O05880			cytosol [GO:0005829]
O05882	potassium ion transport [GO:0006813]	monoatomic cation transmembrane transporter activity [GO:0008324]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O05887			
O05888			peptidoglycan-based cell wall [GO:0009274]
O05896	amino acid transport [GO:0006865]	amino acid transmembrane transporter activity [GO:0015171]	extracellular region [GO:0005576]; membrane [GO:0016020]
O05899	carbohydrate derivative metabolic process [GO:1901135]	carbohydrate derivative binding [GO:0097367]	plasma membrane [GO:0005886]
O05900			cytosol [GO:0005829]; plasma membrane [GO:0005886]
O05904			
O06128			
O06132			membrane [GO:0016020]
O06133			
O06135	acyl-CoA metabolic process [GO:0006637]; fatty acid catabolic process [GO:0009062]	fatty acyl-CoA hydrolase activity [GO:0047617]	
O06141			plasma membrane [GO:0005886]
O06144		acyltransferase activity [GO:0016746]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O06145			
O06149			
O06154	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]	hydroxyacylglutathione hydrolase activity [GO:0004416]	cytosol [GO:0005829]
O06155	beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]	
O06170			plasma membrane [GO:0005886]
O06171			endomembrane system [GO:0012505]
O06175			
O06178		1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity [GO:0061522]; fatty acyl-CoA hydrolase activity [GO:0047617]	cytosol [GO:0005829]
O06180			
O06194			
O06195			
O06198			plasma membrane [GO:0005886]
O06213			
O06216		oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	plasma membrane [GO:0005886]
O06230			membrane [GO:0016020]
O06231			
O06232			
O06237			
O06238			
O06240		phosphatase activity [GO:0016791]	cytoplasm [GO:0005737]
O06241			
O06242			
O06243	regulation of DNA-templated transcription [GO:0006355]		
O06252			plasma membrane [GO:0005886]
O06257			
O06263			
O06270			
O06272			
O06277			
O06278			plasma membrane [GO:0005886]
O06279			
O06283			
O06295			
O06296		nucleotidyltransferase activity [GO:0016779]	
O06298			peptidoglycan-based cell wall [GO:0009274]
O06299			
O06300			
O06308			
O06310			
O06315	biological process involved in interaction with host [GO:0051701]; carbohydrate metabolic process [GO:0005975]		plasma membrane [GO:0005886]
O06320			
O06321		cytosine transmembrane transporter activity [GO:0015209]	plasma membrane [GO:0005886]
O06336			
O06338		peroxidase activity [GO:0004601]	
O06348		oxidoreductase activity [GO:0016491]	plasma membrane [GO:0005886]
O06349			plasma membrane [GO:0005886]
O06359	interstrand cross-link repair [GO:0036297]; nucleotide-excision repair [GO:0006289]	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]	nucleus [GO:0005634]; plasma membrane [GO:0005886]
O06364			
O06370			
O06371			
O06376	galactolipid biosynthetic process [GO:0019375]	transferase activity [GO:0016740]	membrane [GO:0016020]
O06378			plasma membrane [GO:0005886]
O06381			cytosol [GO:0005829]
O06389		oxidoreductase activity [GO:0016491]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
O06393	cytochrome complex assembly [GO:0017004]	heme binding [GO:0020037]	plasma membrane [GO:0005886]
O06394	cytochrome complex assembly [GO:0017004]		membrane [GO:0016020]
O06396		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]
O06397			
O06403			
O06404			
O06406			peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O06407			
O06409			
O06410			
O06412			
O06418		hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]	plasma membrane [GO:0005886]
O06422			plasma membrane [GO:0005886]
O06534			
O06536	fatty acid beta-oxidation [GO:0006635]	lyase activity [GO:0016829]	
O06537			
O06538		FAD binding [GO:0071949]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]
O06539		protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity [GO:0004671]	membrane [GO:0016020]
O06540	CAAX-box protein maturation [GO:0080120]	endopeptidase activity [GO:0004175]	plasma membrane [GO:0005886]
O06541		catalytic activity [GO:0003824]	
O06542		catalytic activity [GO:0003824]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
O06545			plasma membrane [GO:0005886]
O06547		methyltransferase activity [GO:0008168]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	
O06551	methylation [GO:0032259]	methyltransferase activity [GO:0008168]	plasma membrane [GO:0005886]
O06552			
O06554	base-excision repair [GO:0006284]	catalytic activity [GO:0003824]	
O06555			extracellular region [GO:0005576]
O06556			extracellular region [GO:0005576]
O06561	chaperone-mediated protein complex assembly [GO:0051131]; nitrate assimilation [GO:0042128]	metallochaperone activity [GO:0016530]; unfolded protein binding [GO:0051082]	plasma membrane [GO:0005886]
O06567			
O06568			
O06569		catalytic activity [GO:0003824]	
O06570			plasma membrane [GO:0005886]
O06571			
O06572	cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]	adenylate cyclase activity [GO:0004016]	
O06574	D-gluconate metabolic process [GO:0019521]; pentose-phosphate shunt [GO:0006098]	NADP binding [GO:0050661]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]	plasma membrane [GO:0005886]
O06575		peroxidase activity [GO:0004601]	
O06576		hydrolase activity [GO:0016787]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O06577	biological process involved in interaction with host [GO:0051701]; response to hypoxia [GO:0001666]; response to nitric oxide [GO:0071731]; triglyceride biosynthetic process [GO:0019432]	O-acyltransferase activity [GO:0008374]	plasma membrane [GO:0005886]
O06578			plasma membrane [GO:0005886]
O06579		ATP binding [GO:0005524]; kinase activity [GO:0016301]; pyruvate, phosphate dikinase activity [GO:0050242]	
O06583			plasma membrane [GO:0005886]
O06586	fatty acid biosynthetic process [GO:0006633]	fatty acid synthase activity [GO:0004312]; phosphopantetheine binding [GO:0031177]	
O06592		oxidoreductase activity [GO:0016491]	
O06593		S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	cytosol [GO:0005829]
O06597		hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O06603			
O06605			
O06606			
O06608		ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	plasma membrane [GO:0005886]
O06609			
O06610			
O06611			
O06612			
O06613	proteolysis [GO:0006508]	peptidase activity [GO:0008233]	
O06614			cytosol [GO:0005829]
O06617			
O06618			
O06619			
O06623			extracellular region [GO:0005576]
O06625	lipopolysaccharide biosynthetic process [GO:0009103]	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]
O06633			
O06773			
O06775			
O06777			plasma membrane [GO:0005886]
O06779	regulation of DNA-templated transcription [GO:0006355]		
O06781	CAAX-box protein maturation [GO:0080120]	endopeptidase activity [GO:0004175]	
O06787			
O06789		oxidoreductase activity [GO:0016491]	
O06790			plasma membrane [GO:0005886]
O06796			
O06798		endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]
O06799	negative regulation of DNA-templated transcription [GO:0045892]	DNA-binding transcription repressor activity [GO:0001217]; metal ion binding [GO:0046872]; transcription cis-regulatory region binding [GO:0000976]	protein-DNA complex [GO:0032993]
O06800		oxidoreductase activity [GO:0016491]; peroxiredoxin activity [GO:0051920]	
O06802	D-serine catabolic process [GO:0036088]	D-serine ammonia-lyase activity [GO:0008721]	plasma membrane [GO:0005886]
O06803		metalloaminopeptidase activity [GO:0070006]	plasma membrane [GO:0005886]
O06805		RNA binding [GO:0003723]	
O06806	negative regulation of DNA-templated transcription [GO:0045892]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
O06807	positive regulation of DNA-templated transcription [GO:0045893]	DNA-binding transcription factor activity [GO:0003700]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O06813			plasma membrane [GO:0005886]
O06815			
O06816			plasma membrane [GO:0005886]
O06820			
O06823			extracellular region [GO:0005576]
O06824			
O06826			
O06827			
O06829	positive regulation of DNA-templated transcription [GO:0045893]	DNA-binding transcription factor activity [GO:0003700]	plasma membrane [GO:0005886]
O06830		acyltransferase activity [GO:0016746]	membrane [GO:0016020]; plasma membrane [GO:0005886]
O06832		hydrolase activity [GO:0016787]	plasma membrane [GO:0005886]
O07033			
O07034			
O07036			
O07169	fatty acid metabolic process [GO:0006631]	ATP binding [GO:0005524]; medium-chain fatty acid-CoA ligase activity [GO:0031956]	
O07171		coenzyme F420 binding [GO:0070967]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]	
O07172			peptidoglycan-based cell wall [GO:0009274]
O07173			plasma membrane [GO:0005886]
O07178	proteolysis [GO:0006508]	oligopeptidase activity [GO:0070012]; serine-type endopeptidase activity [GO:0004252]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
O07182	DNA transposition [GO:0006313]	DNA binding [GO:0003677]; transposase activity [GO:0004803]	
O07191	rRNA base methylation [GO:0070475]	rRNA (uridine-C5-)-methyltransferase activity [GO:0070041]	
O07196			
O07206			
O07207			
O07222			extracellular region [GO:0005576]
O07229	regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	
O07230		3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity [GO:0000253]	
O07233		oxidoreductase activity [GO:0016491]	peptidoglycan-based cell wall [GO:0009274]
O07234			
O07235			
O07237			
O07238			
O07241			
O07242	carbohydrate metabolic process [GO:0005975]	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; metal ion binding [GO:0046872]	extracellular region [GO:0005576]
O07243		isomerase activity [GO:0016853]	peptidoglycan-based cell wall [GO:0009274]
O07246			
O07250	biological process involved in interaction with host [GO:0051701]		
O07251			cytosol [GO:0005829]
O07252	regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	plasma membrane [GO:0005886]
O07253	methylation [GO:0032259]	methyltransferase activity [GO:0008168]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	
O07254	regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	
O07255		oxidoreductase activity [GO:0016491]	
O07256		metal ion binding [GO:0046872]	plasma membrane [GO:0005886]
O07406	respiratory electron transport chain [GO:0022904]	FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]	
O07408		fatty acyl-CoA hydrolase activity [GO:0047617]	
O07411		acid-thiol ligase activity [GO:0016878]; CoA-ligase activity [GO:0016405]	
O07412	phospholipid transport [GO:0015914]	phospholipid transporter activity [GO:0005548]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]
O07420	biological process involved in interaction with host [GO:0051701]		plasma membrane [GO:0005886]
O07421	biological process involved in interaction with host [GO:0051701]		plasma membrane [GO:0005886]
O07423			
O07424			peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O07428			
O07429			
O07430	carbohydrate metabolic process [GO:0005975]	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	plasma membrane [GO:0005886]
O07432			
O07437			
O07719			plasma membrane [GO:0005886]
O07720			
O07721		oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]	
O07726			extracellular region [GO:0005576]
O07729			
O07730	carboxylic acid transport [GO:0046942]	carboxylic acid transmembrane transporter activity [GO:0046943]; sialic acid transmembrane transporter activity [GO:0015136]	plasma membrane [GO:0005886]
O07738		nitronate monooxygenase activity [GO:0018580]; oxidoreductase activity [GO:0016491]	
O07739			
O07740			
O07741			extracellular region [GO:0005576]
O07742			cytosol [GO:0005829]
O07743	methylation [GO:0032259]	methyltransferase activity [GO:0008168]	
O07744			
O07745			extracellular region [GO:0005576]
O07748			
O07749		oxidoreductase activity [GO:0016491]	plasma membrane [GO:0005886]
O07751		hydrolase activity [GO:0016787]	
O07752	glutamine biosynthetic process [GO:0006542]; protein homooligomerization [GO:0051260]	glutamine synthetase activity [GO:0004356]	
O07754	cellular response to iron ion starvation [GO:0010106]	coenzyme F420 binding [GO:0070967]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]
O07755			plasma membrane [GO:0005886]
O07756			
O07761			
O07762			
O07763			peptidoglycan-based cell wall [GO:0009274]
O07771			
O07772			
O07775			
O07787	intermembrane phospholipid transfer [GO:0120010]; symbiont entry into host [GO:0044409]	phospholipid transfer activity [GO:0120014]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O07788	intermembrane phospholipid transfer [GO:0120010]; symbiont entry into host [GO:0044409]	phospholipid transfer activity [GO:0120014]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
